,gsp_id_x,gsp_name,region_name
0,0,NATIONAL, National
1,1,ABHA1,Abham
2,2,ABNE_P,Abernethy
3,3,ABTH_1,Aberthaw
4,4,ACTL_2|CBNK_H|GREE_H|PERI_H,Willesden (Zone 1)
5,5,ACTL_C|WISD_1|WISD_6,Willesden (Zone 2)
6,6,ALNE_P,Alness
7,7,ALST_3|USKM_1,Uskmouth
8,8,ALVE1,Alverdiscott
9,9,AMEM_1,Amersham Main
10,10,ARBR_P,Arbroath
11,11,ARDK_P|CLAC_P,Clachan
12,12,ARMO_P,Ardmore
13,13,AXMI1,Axminster
14,14,AYRR,Ayr
15,15,BAGA,Bathgate
16,16,BAIN,Bainsford
17,17,BARKC1|BARKW3,Barking
18,18,BEAU_P|ORRI_P,Beauly
19,19,BEDDT1,Beddington (Zone 1)
20,20,BEDD_1,Beddington (Zone 2)
21,21,BERB_P|CAIF_P|DALL_P|GLEF_P|KEIT_P,Keith
22,22,BERW,Berwick
23,23,BESW_1,Berkswell
24,24,BICF_1,Bicker Fen
25,25,BIRK_1,Birkenhead
26,26,BISW_1,Bishops Wood
27,27,BLYTB1,Blyth (Zone 1)
28,28,BLYTH132,Blyth (Zone 2)
30,29,BOAG_P,Boat of Garten
31,30,BOLN_1,Bolney
32,31,BONN,Bonnybridge
33,32,BOTW_1,Botley Wood
34,33,BRAC_P,Braco West
35,34,BRAI_1,Braintree
36,35,BRAP,Braehead Park
37,36,BRAW_1,Bradford West
38,37,BRED_1,Bredbury
39,38,BRFO_1|CLT03,Bramford
40,39,BRID_P,Bridge of Dun
41,40,BRIM_1,Brimsdown
42,41,BRLE_1|FLEE_1,Bramley
43,42,BROA_P,Broadford
44,43,BROR_P,Brora
45,44,BROX,Broxburn
46,45,BRWA1,Bridgewater
47,46,BUMU_P,Burghmuir
48,47,BURM_1,Burwell Main
49,48,BUSH_1,Bushbury
50,49,BUST_1,Bustleholme
51,50,CAAD_P,Carradale
52,51,CAFA|EAST|GLLE|KEOO|TONG,Tongland
53,52,CAMB_01,Camblesforth
54,53,CANTN1|RICH_J|RICH1,Canterbury
55,54,CAPEA1,Capenhurst
57,55,CARE_1,Cardiff East
58,56,CARR_1,Carrington
60,57,CASS_P,Cassley
61,58,CATY,Carntyne
62,59,CEAN_P,Ceannacroc
63,60,CELL_1,Cellarhead
64,61,CHAP,Chapelcross
65,62,CHAR_P,Charleston
66,63,CHAS,Charlotte Street
67,64,CHIC_1,Chickerell
68,65,CHSI_1,Chessington
70,66,CHTE_1,Chesterfield
71,67,CITR_1,City Road
72,68,CLAY_P,Clayhills
73,69,CLYM,Clyde’s Mill
74,70,COAT,Coatbridge
76,71,COCK,Cockenzie
77,72,CONQA1|SASA,Connahs Quay
78,73,COUA_P,Coupar Angus
79,74,COVE_1,Coventry
80,75,COWL_1|ECLA_H,Cowley
81,76,COYL,Coylton
82,77,CRAI_P,Craigiebuckler
83,78,CREB_1,Creyke Beck
84,79,CROO,Crookston
86,80,CUMB,Cumbernauld
